CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Current Opening Hours,Rating,Reviews,Latitude,Longitude,Per Day Opening Hours
01001000,9,Bar da Dona Onça,http://www.bardadonaonca.com.br/,ChIJEyOtjU5YzpQRJi-Cf-QbjYU,"Edifício Copan - Av. Ipiranga, 200 - 27 e 29 - Centro Histórico de São Paulo, São Paulo - SP, 01046-925",São Paulo,SP,+55 11 3257-2016,Fecha em breve ⋅ 23:00 ⋅ Abre sex. às 12:00,4.4,7560,-23.5465084,-46.644531699999995,quinta-feira: 12:00–23:00; sexta-feira: 12:00–23:00; sábado: 12:00–23:00; domingo: 12:00–17:00; segunda-feira: 12:00–23:00; terça-feira: 12:00–23:00; quarta-feira: 12:00–23:00
01001000,10,RESTAURANTE REI DOS REIS LTDA,https://sites.google.com/view/restaurante-rei-dos-reis/p%C3%A1gina-inicial?authuser=0,ChIJ2_-0v8ZZzpQRf6dw8e-6ZW4,"Praça Carlos Gomes, 178 - Liberdade, São Paulo - SP, 01501-040",São Paulo,SP,+55 11 3115-4676,Fechado ⋅ Abre sex. às 11:00,4.4,773,-23.553926,-46.6358014,quinta-feira: 11:00–16:30; quinta-feira: 18:00–21:00; sexta-feira: 11:00–16:30; sexta-feira: 18:00–21:00; sábado: 11:00–21:00; domingo: 11:00–21:00; segunda-feira: 11:00–16:30; segunda-feira: 18:00–21:00; terça-feira: 11:00–16:30; terça-feira: 18:00–21:00; quarta-feira: 11:00–16:30; quarta-feira: 18:00–21:00
01001000,11,Churrascaria A Saloia,,ChIJ81ZZn1lYzpQR5mVG-dtZXo8,"Av. Cásper Líbero, 526 - Luz, São Paulo - SP, 01033-000",São Paulo,SP,+55 11 3227-8202,Fecha em breve ⋅ 23:00 ⋅ Abre sex. às 06:00,4.3,638,-23.5369656,-46.6354523,quinta-feira: 06:00–23:00; sexta-feira: 06:00–23:00; sábado: 06:00–23:00; domingo: Fechado; segunda-feira: 06:00–23:00; terça-feira: 06:00–23:00; quarta-feira: 06:00–23:00
01001000,12,Restaurante Pamplona,https://www.ifood.com.br/delivery/sao-paulo-sp/restaurante-pamplona-jardim-paulista/10835e27-bb1a-4db4-99ba-03f417c9a957,ChIJHTYMMshZzpQR_w6yrhgLZLo,"R. Pamplona, 315 - Jardim Paulista, São Paulo - SP, 01405-000",São Paulo,SP,+55 11 98962-6996,Fecha em breve ⋅ 23:00 ⋅ Abre sex. às 06:00,4.2,543,-23.5616927,-46.651826,quinta-feira: 06:00–23:00; sexta-feira: 06:00–23:00; sábado: 06:00–20:00; domingo: Fechado; segunda-feira: 06:00–23:00; terça-feira: 06:00–23:00; quarta-feira: 06:00–23:00
01001000,13,Bar e Restaurante Nova Casa,,ChIJ3fvdA05ZzpQRVT1LkaOO9tw,"R. Maria Paula, 50 - Bela Vista, São Paulo - SP, 01319-000",São Paulo,SP,+55 11 3107-3032,Fechado ⋅ Abre sex. às 09:00,4.6,18,-23.5522138,-46.6381233,quinta-feira: 09:00–21:00; sexta-feira: 09:00–21:00; sábado: 06:00–16:00; domingo: Fechado; segunda-feira: 09:00–21:00; terça-feira: 09:00–21:00; quarta-feira: 09:00–21:00
01001000,2,Restaurante dona,,ChIJ56iJSJdZzpQRd0rstAxh6EQ,"R. Dr. Bitencourt Rodrigues, 155 - Centro Histórico de São Paulo, São Paulo - SP, 01017-010",São Paulo,SP,,,,,-23.548620099999997,-46.631560099999994,
01001000,15,Restaurante Ariaque,,ChIJXT8OZqlZzpQRCkZI0a4Pl5g,"Av. da Liberdade, 98 - Liberdade, São Paulo - SP, 01502-000",São Paulo,SP,,,,,-23.5537438,-46.6353644,
01001000,4,Restaurante La Friulana,,ChIJh1etle1ZzpQRUPYn7VAbuCc,"R. Maria Paula, 98 - Bela Vista, São Paulo - SP, 01319-001",São Paulo,SP,+55 11 3101-1646,,4.7,18,-23.5520073,-46.6385838,
01001000,17,Restaurante Chi Fu,,ChIJE4LPXKlZzpQRWaPXypCAzBw,"Praça Carlos Gomes, 200 - Liberdade, São Paulo - SP, 01501-040",São Paulo,SP,+55 11 3101-8888,Fechado ⋅ Abre sex. às 11:00,4.4,3548,-23.5543647,-46.6357681,quinta-feira: 11:00–15:30; quinta-feira: 17:30–21:00; sexta-feira: 11:00–15:30; sexta-feira: 17:30–21:00; sábado: 11:00–21:00; domingo: 11:00–21:00; segunda-feira: 11:00–15:30; segunda-feira: 17:30–21:00; terça-feira: 11:00–15:30; terça-feira: 17:30–21:00; quarta-feira: 11:00–15:30; quarta-feira: 17:30–21:00
01001000,8,restaurante Bonjardim,https://www.bonjardim.com.br/,ChIJi3dMqKRZzpQRuQE0F5VZroo,"R. Maestro Cardim, 407 - Bela Vista, São Paulo - SP, 01323-000",São Paulo,SP,+55 32621983,Fecha em breve ⋅ 23:00 ⋅ Abre sex. às 06:30,4,43,-23.5648555,-46.6412018,quinta-feira: 06:30–23:00; sexta-feira: 06:30–23:00; sábado: 06:30–23:00; domingo: 06:30–23:00; segunda-feira: 06:30–23:00; terça-feira: 06:30–23:00; quarta-feira: 06:30–23:00
01001000,19,Cana Brava - Restaurante,https://www.instagram.com/canabravaoficial15/,ChIJUwjjsZFZzpQR1IbtnZhT1CM,"R. Augusta, 15 - Consolação, São Paulo - SP, 01313-000",São Paulo,SP,+55 11 2574-0805,Aberto ⋅ Fecha à 01:00,4.5,186,-23.5501249,-46.6463697,quinta-feira: 06:00–01:00; sexta-feira: 06:00–01:00; sábado: 06:00–01:00; domingo: 09:00–18:00; segunda-feira: 06:00–01:00; terça-feira: 06:00–01:00; quarta-feira: 06:00–01:00
01001000,20,Artes Restaurante,https://www.instagram.com/artes.restaurante/,ChIJp2NBGlVYzpQRrnbpqVj4e4g,"R. Três de Dezembro, 43 - Centro Histórico de São Paulo, São Paulo - SP, 01014-020",São Paulo,SP,+55 11 3104-3903,Fechado ⋅ Abre sex. às 11:00,4.5,117,-23.5463456,-46.6338179,quinta-feira: 11:00–15:00; sexta-feira: 11:00–15:00; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:00; terça-feira: 11:00–15:00; quarta-feira: 11:00–15:00
01001000,18,Restaurante Cadoro - Ca’d’Oro São Paulo,http://www.cadoro.com.br/restaurante/,ChIJKWRBcUtYzpQRGQ7IgYH84rE,"R. Augusta, 129 - Consolação, São Paulo - SP, 01305-900",São Paulo,SP,+55 11 3236-4300,Fecha em breve ⋅ 22:30 ⋅ Abre sex. às 12:00,4.5,53,-23.550559399999997,-46.6477006,quinta-feira: 12:00–15:30; quinta-feira: 19:00–22:30; sexta-feira: 12:00–15:30; sexta-feira: 19:00–22:30; sábado: 12:00–15:30; sábado: 19:00–22:30; domingo: 12:00–15:30; domingo: 19:00–22:30; segunda-feira: 12:00–15:30; segunda-feira: 19:00–22:30; terça-feira: 12:00–15:30; terça-feira: 19:00–22:30; quarta-feira: 12:00–15:30; quarta-feira: 19:00–22:30
01001000,16,Planaltinho Restaurante,,ChIJgcdaAnRZzpQRoMqqYsoaO-A,"R. Venceslau Brás, 196 - Centro Histórico de São Paulo, São Paulo - SP, 01016-000",São Paulo,SP,+55 11 3106-1417,Fechado ⋅ Abre sex. às 07:00,4.2,51,-23.5493715,-46.6312566,quinta-feira: 07:00–16:00; sexta-feira: 07:00–16:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 07:00–16:00; terça-feira: 07:00–16:00; quarta-feira: 07:00–16:00
01001000,14,Angelo's Place Restaurante,,ChIJbw6O2KpZzpQRinG8254M_9I,"R. Direita, 65 - 1º Andar - Sé, São Paulo - SP, 01002-001",São Paulo,SP,+55 11 3241-1861,Fechado ⋅ Abre sex. às 11:00,4.5,237,-23.548904,-46.634279,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,1,Sushi Lika,https://www.facebook.com/pages/Sushi-Lika/196153150413474,ChIJu5kz-r9kzpQR8eHthm8zr8E,"R. dos Estudantes, 152 - Liberdade, São Paulo - SP, 08142-700",São Paulo,SP,+55 11 3207-7435,Fecha em breve ⋅ 22:30 ⋅ Abre sex. às 11:30,4.6,1225,-23.555574999999997,-46.633751,quinta-feira: 11:30–14:30; quinta-feira: 18:30–22:30; sexta-feira: 11:30–14:30; sexta-feira: 18:30–22:30; sábado: 12:00–15:00; sábado: 18:30–23:00; domingo: Fechado; segunda-feira: 11:30–14:30; segunda-feira: 18:30–22:30; terça-feira: 11:30–14:30; terça-feira: 18:30–22:30; quarta-feira: 11:30–14:30; quarta-feira: 18:30–22:30
01001000,2,Restaurante Villares Grill,,ChIJp14KSNZZzpQRGr2tQWm0SQ0,"Praça Dr. João Mendes, 68 - Centro Histórico de São Paulo, São Paulo - SP, 01501-000",São Paulo,SP,+55 11 3105-5350,Fechado ⋅ Abre sex. às 11:00,,,-23.5517964,-46.6356742,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: 11:00–15:30; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,7,Janoca Restaurante,,ChIJrc5a-0dZzpQRuNQxZBJBTrQ,"Av. Rangel Pestana, 257 - Brás, São Paulo - SP, 01017-000",São Paulo,SP,+55 11 95335-6487,Fechado ⋅ Abre sex. às 07:00,3.7,6,-23.5497099,-46.6310913,quinta-feira: 07:00–16:00; sexta-feira: 07:00–16:00; sábado: Fechado; domingo: Fechado; segunda-feira: 07:00–16:00; terça-feira: 07:00–16:00; quarta-feira: 07:00–16:00
01001000,4,Bar e Restaurante da Praça,,ChIJIXdOAABZzpQRL2eWnFAhXaU,"Praça Fernando Costa, 14 - Se, São Paulo - SP, 01015-020",São Paulo,SP,,,4.3,7,-23.5473699,-46.631792999999995,
01001000,5,Restaurante Bancário,,ChIJzye4xVRYzpQRpdSNe4Xu8RM,"R. da Quitanda, 92 - Centro Histórico de São Paulo, São Paulo - SP, 01012-010",São Paulo,SP,+55 11 3101-3449,Fechado ⋅ Abre sex. às 11:30,4.1,966,-23.5476112,-46.635121999999996,quinta-feira: 11:30–16:00; sexta-feira: 11:30–16:00; sábado: Fechado; domingo: Fechado; segunda-feira: 11:30–16:00; terça-feira: 11:30–16:00; quarta-feira: 11:30–16:00
01001000,9,Nova Opção Grill,https://novaopcaogrill.com.br/,ChIJkRAGGlVYzpQRn_VryfSPdsU,"R. Três de Dezembro, 50 - Centro Histórico de São Paulo, São Paulo - SP, 01010-001",São Paulo,SP,+55 11 3107-1210,Fechado ⋅ Abre sex. às 11:00,4.5,720,-23.5466537,-46.6337318,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,10,Restaurante Expresso São Paulo,https://www.instagram.com/expressosaopaulo/,ChIJU5UUx1RYzpQRWUs6_yqQFGc,"R. da Quitanda, 123 - Centro Histórico de São Paulo, São Paulo - SP, 01012-010",São Paulo,SP,+55 11 99487-8931,Fechado ⋅ Abre sex. às 11:00,4.4,791,-23.5477846,-46.6355018,quinta-feira: 11:00–16:30; sexta-feira: 11:00–23:30; sábado: Fechado; domingo: Fechado; segunda-feira: 11:00–16:30; terça-feira: 11:00–16:30; quarta-feira: 11:00–16:30
01001000,11,Restaurante Sato,http://vejasp.abril.com.br/estabelecimento/restaurante-sato,ChIJ5UVlnahZzpQRHKcRf9-rMBg,"R. Galvão Bueno, 268 - Liberdade, São Paulo - SP, 01506-000",São Paulo,SP,+55 11 3208-8504,Fechado ⋅ Abre sex. às 11:00,4.4,340,-23.5579546,-46.6351808,quinta-feira: 11:00–15:30; sexta-feira: 11:00–15:30; sábado: 11:00–15:30; domingo: Fechado; segunda-feira: 11:00–15:30; terça-feira: 11:00–15:30; quarta-feira: 11:00–15:30
01001000,13,榕城酒店 Figueirinha Restaurante,https://www.instagram.com/figueirinharestaurante/,ChIJ9508tz5ZzpQRbJCk8zdahfg,"R. da Glória, 152 - loja 160 - Liberdade, São Paulo - SP, 01510-000",São Paulo,SP,+55 11 91231-2399,Fechado ⋅ Abre sex. às 10:00,4.2,250,-23.5546439,-46.6345315,quinta-feira: 10:00–21:00; sexta-feira: 10:00–21:00; sábado: 08:30–15:00; sábado: 17:00–21:00; domingo: 08:30–15:00; domingo: 17:00–21:00; segunda-feira: 10:00–21:00; terça-feira: 10:00–14:00; terça-feira: 17:00–21:00; quarta-feira: 10:00–21:00
01001000,14,Restaurante Itiriki Cozinha Oriental,,ChIJK4BgIalZzpQRZOOBPNGLvNA,"Praça da Liberdade, 159 - Liberdade, São Paulo - SP, 01503-010",São Paulo,SP,+55 11 3207-1790,Fechado ⋅ Abre sex. às 11:00,4.4,1737,-23.555364299999997,-46.6352018,quinta-feira: 11:00–16:30; sexta-feira: 11:00–16:30; sábado: 11:00–17:30; domingo: 11:00–17:30; segunda-feira: 11:00–16:30; terça-feira: 11:00–16:30; quarta-feira: 11:00–16:30
01001000,15,Agamat Restaurante,,ChIJlRjZDslZzpQRjW-fADt9CCI,"R. Itapeva, 636 - Bela Vista, São Paulo - SP, 01332-000",São Paulo,SP,+55 11 3251-0992,Fecha em breve ⋅ 23:00 ⋅ Abre sex. às 07:00,4.3,183,-23.561180099999998,-46.654097,quinta-feira: 07:00–23:00; sexta-feira: 07:00–23:00; sábado: 07:00–23:00; domingo: 07:00–23:00; segunda-feira: 07:00–23:00; terça-feira: 07:00–23:00; quarta-feira: 07:00–23:00
01001000,16,Central Beirut Restaurante,,ChIJz_4t3jRZzpQRi0C4O8jUKvU,"R. Quintino Bocaiúva, 200 - Sé, São Paulo - SP, 01004-010",São Paulo,SP,+55 11 3104-3354,Fechado ⋅ Abre sex. às 11:00,4.5,386,-23.5503741,-46.6354043,quinta-feira: 11:00–18:30; sexta-feira: 11:00–18:30; sábado: 11:00–15:30; domingo: Fechado; segunda-feira: 11:00–18:30; terça-feira: 11:00–18:30; quarta-feira: 11:00–18:30
01001000,17,Restaurante Sweet Heart - LAOMAZI,https://www.facebook.com/liberdadesweetheart,ChIJX7vf-6hZzpQRdZZUyWr6unk,"R. dos Aflitos, 26 - Liberdade, São Paulo - SP, 01505-030",São Paulo,SP,+55 11 3203-1762,Fechado ⋅ Abre sex. às 10:30,4.5,766,-23.5557365,-46.6347198,quinta-feira: 10:30–20:30; sexta-feira: 10:30–20:30; sábado: 11:00–18:00; domingo: 11:00–17:00; segunda-feira: Fechado; terça-feira: 10:30–20:30; quarta-feira: 10:30–20:30
